col_idx,col_letter,excel_header,proposed_pg_name,proposed_pg_type,complexity,source_tables,sample_value,excel_formula
133,EC,RR_Bottom,rr_bottom,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da809a0>
134,ED,RR_Top,rr_top,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da80a00>
135,EE,BRR%,brr,TEXT,conditional,,,"=IF(_xlfn.IFNA(EC2,"""")=0,"""",(D2-EC2)*100/(ED2-EC2))"
136,EF,Prev Close,prev_close,NUMERIC,passthrough,,95.76,=CN2
137,EG,Open,open,NUMERIC,passthrough,,91.685,=CQ2
138,EH,High,high,NUMERIC,passthrough,,96.51,=CR2
139,EI,Low,low,NUMERIC,passthrough,,91.02,=CS2
140,EJ,Open,open,NUMERIC,passthrough,,91.685,=DP2
141,EK,High,high,NUMERIC,passthrough,,96.51,=DQ2
142,EL,Low,low,NUMERIC,passthrough,,91.02,=DR2
143,EM,Chg SD,chg_sd,NUMERIC,passthrough,,1.0694444444444444,=CA2
144,EN,Price Direction,price_direction,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da81120>
