col_idx,col_letter,excel_header,proposed_pg_name,proposed_pg_type,complexity,source_tables,sample_value,excel_formula
182,FZ,W_Avg Vlm (3m),w_avg_vlm_3m,NUMERIC,cross_sheet_lookup,drv_tw,4379189.87,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$M:$M,"""")"
183,GA,Vlm 3 M Factor,vlm_3_m_factor,NUMERIC,conditional,,0.5564145886188762,"=IF(OR(FU2=0,FU2="""",FZ2=0,FZ2=""""),0,(FU2-FZ2)/FZ2)"
184,GB,Vlm 3m %,vlm_3m,NUMERIC,arithmetic,,55.641458861887614,=GA2*100
185,GC,Vlm Score,vlm_score,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82200>
186,GD,Vlm Desc,vlm_desc,TEXT,cross_sheet_lookup,ref_param,>avg+Accl,"=_xlfn.XLOOKUP(GC2,Parm!$BP$2:$BP$7,Parm!$BQ$2:$BQ$7,""Unknown"")"
187,GE,W_Vlm_RuleCode,w_vlm_rulecode,TEXT,cross_sheet_lookup,drv_tw,,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$U:$U,"""")"
188,GF,Vlm_RuleDesc,vlm_ruledesc,TEXT,cross_sheet_lookup,ref_param,,"=_xlfn.XLOOKUP(GE2,Parm!$BS$2:$BS$11,Parm!$BT$2:$BT$11,"""")"
189,GG,Vlm_Action,vlm_action,TEXT,cross_sheet_lookup,ref_param,,"=_xlfn.XLOOKUP(GE2,Parm!$BS$2:$BS$11,Parm!$BU$2:$BU$11,"""")"
190,GH,Volatility regime,volatility_regime,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82260>
191,GI,Volatility regime,volatility_regime,TEXT,cross_sheet_lookup,ref_param,Norm vlt,"=_xlfn.XLOOKUP(GH2,Parm!$BP$28:$BP$32,Parm!$BQ$28:$BQ$32,"""")"
192,GJ,Price zone,price_zone,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da822c0>
193,GK,Price zone,price_zone,TEXT,cross_sheet_lookup,ref_param,Mild up day,"=_xlfn.XLOOKUP(GJ2,Parm!$BP$8:$BP$15,Parm!$BQ$8:$BQ$15,"""")"
194,GL,Trend context,trend_context,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82320>
195,GM,Trend context,trend_context,TEXT,cross_sheet_lookup,ref_param,PuBk in up tn,"=_xlfn.XLOOKUP(GL2,Parm!$BP$16:$BP$21,Parm!$BQ$16:$BQ$21,"""")"
196,GN,Momentum,momentum,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82380>
197,GO,Momentum,momentum,TEXT,cross_sheet_lookup,ref_param,Stbl vs yday,"=_xlfn.XLOOKUP(GN2,Parm!$BP$22:$BP$27,Parm!$BQ$22:$BQ$27,"""")"
198,GP,Long Trend Total,long_trend_total,NUMERIC,arithmetic,,10,=SIGN(BV2)*1+SIGN(BT2)*2+SIGN(BR2)*3+SIGN(BP2)*4
199,GQ,Long Trend Score,long_trend_score,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da824a0>
200,GR,Long Trend Descr,long_trend_descr,TEXT,cross_sheet_lookup,ref_param,Strng bull,"=_xlfn.XLOOKUP(GQ2,Parm!$BP$33:$BP$38,Parm!$BQ$33:$BQ$38,"""")"
201,GS,ST Signal Scenario,st_signal_scenario,NUMERIC,array_formula,,14,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82500>
202,GT,ST_Signal Score,st_signal_score,NUMERIC,cross_sheet_lookup,ref_param,0,"=_xlfn.XLOOKUP(GS2,Parm!$CI$2:$CI$15,Parm!$CK$2:$CK$15,"""")"
203,GU,ST_Signal Desc,st_signal_desc,TEXT,cross_sheet_lookup,ref_param, ,"=_xlfn.XLOOKUP(GS2,Parm!$CI$2:$CI$15,Parm!$CJ$2:$CJ$15,"""")"
204,GV,Final Signal Scenario,final_signal_scenario,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82560>
205,GW,Final_Signal,final_signal,NUMERIC,cross_sheet_lookup,ref_param,0,"=_xlfn.XLOOKUP(GV2,Parm!$CM$2:$CM$13,Parm!$CN$2:$CN$13,"""")"
206,GX,Beta,beta,NUMERIC,cross_sheet_lookup,hist_to,1.5,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!K:K,"""")"
207,GY,Market Cap,market_cap,NUMERIC,cross_sheet_lookup,hist_to,26765000000,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!G:G,"""")"
208,GZ,Long-term Debt to Capital - Current (LTM),long_term_debt_to_capital_current_ltm,NUMERIC,cross_sheet_lookup,hist_to,0.3112,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!M:M,"""")"
209,HA,Price / Earnings Ratio - Current,price_earnings_ratio_current,NUMERIC,cross_sheet_lookup,hist_to,14.896,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!N:N,"""")"
210,HB,Price / Book Value Ratio - Current,price_book_value_ratio_current,NUMERIC,cross_sheet_lookup,hist_to,2.775,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!O:O,"""")"
211,HC,Return on Equity (ROE) - Current (LTM),return_on_equity_roe_current_ltm,NUMERIC,cross_sheet_lookup,hist_to,20.275,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!P:P,"""")"
212,HD,EPS,eps,NUMERIC,cross_sheet_lookup,hist_to,6.18,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!Q:Q,"""")"
213,HE,Div. Yield - Current,div_yield_current,TEXT,cross_sheet_lookup,hist_to,<empty>,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!R:R,"""")"
214,HF,Sector,sector,TEXT,cross_sheet_lookup,hist_to,Information Technology,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!S:S,"""")"
215,HG,Free Cash Flow Per Share - Current (LTM),free_cash_flow_per_share_current_ltm,NUMERIC,cross_sheet_lookup,hist_to,6.4,"=_xlfn.XLOOKUP($P2&$B2,TO!$D:$D,TO!T:T,"""")"
216,HH,Asset Class,asset_class,TEXT,cross_sheet_lookup,ref_sector,Equities,"=_xlfn.XLOOKUP(C2,Sctr!A$2:A$1000,Sctr!I$2:I$1000,"""")"
217,HI,Sctr!Sector,sctr_sector,TEXT,cross_sheet_lookup,ref_sector,Information Technology,"=_xlfn.XLOOKUP(C2,Sctr!A$2:A$1000,Sctr!K$2:K$1000,"""")"
218,HJ,Sector,sector,TEXT,conditional,,Information Technology,"=IF(HF2=0,HI2,HF2)"
219,HK,Sub Asset Class,sub_asset_class,TEXT,cross_sheet_lookup,ref_sector,Software/Tech,"=_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!J:J,"""")"
220,HL,Industry,industry,TEXT,cross_sheet_lookup,ref_sector,Software,"=_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!C:C,"""")"
221,HM,Growth - Sector Based,growth_sector_based,TEXT,array_formula,,Secular,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82680>
222,HN,Growth - Econ Based,growth_econ_based,TEXT,array_formula,,Cyclical,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da826e0>
223,HO,Growth,growth,TEXT,conditional,,N/A,"=IF(HM2=HN2,HM2,""N/A"")"
224,HP,Scale,scale,TEXT,array_formula,,Size,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82800>
225,HQ,Solvency,solvency,TEXT,array_formula,,Low Leverage,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82860>
226,HR,Value?,value,TEXT,array_formula,,Value,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da828c0>
227,HS,Quality?,quality,TEXT,array_formula,,Quality,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82920>
228,HT,Dividend?,dividend,TEXT,array_formula,,N/A,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82980>
229,HU,Momentum Score,momentum_score,NUMERIC,arithmetic,,4.282976825441305,=0.15*BQ2 + 0.2*BS2 + 0.2*BU2 + 0.2*BW2 + 0.15*BY2 + 5*((D2-CF2)/CF2) + 5*((D2-CG2)/CG2)
230,HV,Momentum,momentum,TEXT,conditional,,Momentum,"=IF(HU2>2.2,""Momentum"",""N/A"")"
231,HW,Sensitivity,sensitivity,TEXT,array_formula,,High Beta,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da82b60>
232,HX,Growth - M OL,growth_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HO2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
233,HY,Scale - M OL,scale_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HP2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
234,HZ,Solvency - M OL,solvency_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HQ2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
235,IA,Value? - M OL,value_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,-3,"=_xlfn.XLOOKUP(HR2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
236,IB,Quality? - M OL,quality_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=_xlfn.XLOOKUP(HS2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
237,IC,Dividend? - M OL,dividend_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HT2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
238,ID,Momentum - M OL,momentum_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=_xlfn.XLOOKUP(HV2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,0)"
239,IE,Sensitivity - M OL,sensitivity_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HW2,HQuad!$B$24:$B$39,HQuad!$J$24:$J$39,"""")"
240,IF,Asset Class - M OL,asset_class_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HH2,HQuad!$B$2:$B$9,HQuad!$J$2:$J$9,"""")"
241,IG,Equity Sector - M OL,equity_sector_m_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=IF(HH2=""Equities"",_xlfn.XLOOKUP(HJ2,HQuad!$B$10:$B$23,HQuad!$J$10:$J$23,""""),IF2)"
242,IH,M+ves - Equity Style,m_ves_equity_style,NUMERIC,aggregate,,2,"=COUNTIF(HX2:IE2,"">0"")"
243,II,M-ves  - Equity Style,m_ves_equity_style,NUMERIC,aggregate,,1,"=COUNTIF(HX2:IE2,""<0"")"
244,IJ,Growth - Q OL,growth_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HO2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
245,IK,Scale - Q OL,scale_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HP2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
246,IL,Solvency - Q OL,solvency_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HQ2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
247,IM,Value? - Q OL,value_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,-3,"=_xlfn.XLOOKUP(HR2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
248,IN,Quality? - Q OL,quality_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HS2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
249,IO,Dividend? - Q OL,dividend_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,0,"=_xlfn.XLOOKUP(HT2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
250,IP,Momentum - Q OL,momentum_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=_xlfn.XLOOKUP(HV2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,0)"
251,IQ,Sensitivity - Q OL,sensitivity_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=_xlfn.XLOOKUP(HW2,HQuad!$B$24:$B$39,HQuad!$L$24:$L$39,"""")"
252,IR,Asset Class - Q OL,asset_class_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=_xlfn.XLOOKUP(HH2,HQuad!$B$2:$B$9,HQuad!$L$2:$L$9,"""")"
253,IS,Equity Sector - Q OL,equity_sector_q_ol,NUMERIC,cross_sheet_lookup,ref_quad_outlook,3,"=IF(HH2=""Equities"",_xlfn.XLOOKUP(HJ2,HQuad!$B$10:$B$23,HQuad!$L$10:$L$23,""""),IR2)"
254,IT,Q+ves - Equity Style,q_ves_equity_style,NUMERIC,aggregate,,2,"=COUNTIF(IJ2:IQ2,"">0"")"
255,IU,Q-ves  - Equity Style,q_ves_equity_style,NUMERIC,aggregate,,1,"=COUNTIF(IJ2:IQ2,""<0"")"
256,IV,SP500 Volatility,sp500_volatility,NUMERIC,cross_sheet_lookup,"ref_sector,(scalar from drv_dash)",0,"=IF(_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!D:D,"""")=""Y"",Dash!$S$2,0)"
257,IW,Nasdaq Volatility,nasdaq_volatility,TEXT,cross_sheet_lookup,"ref_sector,(scalar from drv_dash)",,"=IF(_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!E:E,"""")=""Y"",Dash!$S$5,0)"
258,IX,Dow Volatility,dow_volatility,NUMERIC,cross_sheet_lookup,"ref_sector,(scalar from drv_dash)",0,"=IF(_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!F:F,"""")=""Y"",Dash!$S$9,0)"
259,IY,RusSell Volatility,russell_volatility,NUMERIC,cross_sheet_lookup,"ref_sector,(scalar from drv_dash)",0,"=IF(_xlfn.XLOOKUP(C2,Sctr!A:A,Sctr!G:G,"""")=""Y"",Dash!$S$4,0)"
260,IZ,FCF,fcf,NUMERIC,cross_sheet_lookup,drv_tw,6.4,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$G:$G,"""")"
261,JA,Ticker,ticker,TEXT,passthrough,,ZM,=C2
262,JB,EarningsDays,earningsdays,NUMERIC,cross_sheet_lookup,drv_tw,16,"=_xlfn.XLOOKUP($N2&$B2,TW!$D:$D,TW!$X:$X,"""")"
263,JC,Short Ratio,short_ratio,NUMERIC,cross_sheet_lookup,hist_y,1.7,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$Q:$Q,"""")"
264,JD,Float,float,TEXT,cross_sheet_lookup,hist_y,260.232M,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$R:$R,"""")"
265,JE,Shares Out,shares_out,TEXT,cross_sheet_lookup,hist_y,265.97M,"=_xlfn.XLOOKUP($R2&$C2,Y!$D:$D,Y!$S:$S,"""")"
266,JF,Begin,begin,TEXT,static_input,,,
267,JG,MACDH Direction,macdh_direction,NUMERIC,conditional,,1,"=IF(CK2=0,-1,SIGN(CK2))"
268,JH,MACD Direction,macd_direction,NUMERIC,conditional,,1,"=IF(CI2=0,-1,SIGN(CI2))"
269,JI,BB Direction,bb_direction,NUMERIC,passthrough,,-1,=AN2
270,JJ,BB Threshold,bb_threshold,NUMERIC,conditional,,0,"=IF(AX2=1,AW2,0)"
271,JK,BBThresh CO Days,bbthresh_co_days,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83280>
272,JL,BBThresh_CO_Days2,bbthresh_co_days2,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da832e0>
273,JM,Trade Cross Over,trade_cross_over,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83340>
274,JN,Trade-Rule,trade_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da833a0>
275,JO,!Trade Rule,trade_rule,NUMERIC,arithmetic,,-2,=(-1)*JN2
276,JP,Trend Cross Over,trend_cross_over,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da834c0>
277,JQ,Trend-Rule,trend_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83520>
278,JR,!Trend Rule,trend_rule,NUMERIC,arithmetic,,-1,=(-1)*JQ2
279,JS,Trend Trade Dep Rule,trend_trade_dep_rule,NUMERIC,conditional,,2,"=IF(AE2<=AF2,JQ2,JN2)"
280,JT,TrTn Relation,trtn_relation,NUMERIC,conditional,,-1,"=IF(AE2<=AF2,1,-1)"
281,JU,!TrTn Relation,trtn_relation,NUMERIC,arithmetic,,1,=(-1)*JT2
282,JV,Trade Trend SD Rule,trade_trend_sd_rule,NUMERIC,array_formula,,-1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83880>
283,JW,BRR% Rule,brr_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da838e0>
284,JX,BRR% LRR,brr_lrr,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83940>
285,JY,BRR% R2,brr_r2,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da839a0>
286,JZ,BRR% LRR2,brr_lrr2,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83a00>
287,KA,BRR% TRR,brr_trr,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83a60>
288,KB,BRR% Puts,brr_puts,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83ac0>
289,KC,BRR% TRR Puts,brr_trr_puts,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83b20>
290,KD,BRR% Dir,brr_dir,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83b80>
291,KE,High TRR,high_trr,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83be0>
292,KF,Low LRR,low_lrr,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83c40>
293,KG,Trend below TRR,trend_below_trr,NUMERIC,conditional,,-1,"=IF(EQ2<0,-1,0)"
294,KH,LRR above Trade,lrr_above_trade,NUMERIC,conditional,,0,"=IF(ER2>0,1,0)"
295,KI,TRR_Idx,trr_idx,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83e20>
296,KJ,MRR_Idx,mrr_idx,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83e80>
297,KK,LRR_Idx,lrr_idx,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83ee0>
298,KL,HVAbsolute,hvabsolute,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83f40>
299,KM,IVAbsolute,ivabsolute,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0da83fa0>
300,KN,IVPercentile,ivpercentile,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0040>
301,KO,IVPercentile Puts,ivpercentile_puts,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab00a0>
302,KP,HVPercentile,hvpercentile,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0100>
303,KQ,HVPercentile Puts,hvpercentile_puts,NUMERIC,array_formula,,-2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0160>
304,KR,IVHV,ivhv,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab01c0>
305,KS,IVHV Puts,ivhv_puts,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0220>
306,KT,IVRule,ivrule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0280>
307,KU,RSI Rule,rsi_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab02e0>
308,KV,RSI Top,rsi_top,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0340>
309,KW,RSI Puts,rsi_puts,NUMERIC,array_formula,,-2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab03a0>
310,KX,3m-Low-Rule,c_3m_low_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0400>
311,KY,3m-Low-Days Rule,c_3m_low_days_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0460>
312,KZ,3mn-High-Rule,c_3mn_high_rule,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab04c0>
313,LA,3mn-High-Days Rule,c_3mn_high_days_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0520>
314,LB,3m-Long,c_3m_long,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0580>
315,LC,Perf3mn SD Rule,perf3mn_sd_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab05e0>
316,LD,Perf2M SD Rule,perf2m_sd_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0640>
317,LE,Perf3WK SD Rule,perf3wk_sd_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab06a0>
318,LF,Perf2WK SD Rule,perf2wk_sd_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0700>
319,LG,Perf3D SD Rule,perf3d_sd_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0760>
320,LH,Perf1D SD Rule,perf1d_sd_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab07c0>
321,LI,!Perf1D_sd,perf1d_sd,NUMERIC,arithmetic,,-2,=(-1)*LH2
322,LJ,Perf3D_sd_1off,perf3d_sd_1off,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab08e0>
323,LK,Perf SD Rule,perf_sd_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0940>
324,LL,!Perf SD Rule,perf_sd_rule,NUMERIC,arithmetic,,-1,=(-1)*LK2
325,LM,!Perf3D Rule,perf3d_rule,NUMERIC,arithmetic,,-2,=(-1)*LG2
326,LN,BBHighLow_SD Rule,bbhighlow_sd_rule,NUMERIC,array_formula,,-1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0b20>
327,LO,BBHighLow Days Rule,bbhighlow_days_rule,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0b80>
328,LP,BBStreak Rule,bbstreak_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0be0>
329,LQ,BBStreakRule1,bbstreakrule1,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0c40>
330,LR,BBStreak Rule2,bbstreak_rule2,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0ca0>
331,LS,BBStreak Days Rule,bbstreak_days_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0d00>
332,LT,BBStreak Days Rule2,bbstreak_days_rule2,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0d60>
333,LU,BBStreak Days Rule3,bbstreak_days_rule3,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0dc0>
334,LV,BBStreak Days Rule4,bbstreak_days_rule4,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0e20>
335,LW,BB Bull Rule,bb_bull_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0e80>
336,LX,BB Bull Puts,bb_bull_puts,NUMERIC,arithmetic,,-3,=(-1)*LW2
337,LY,BBHighDays,bbhighdays,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab0fa0>
338,LZ,BBLowDays,bblowdays,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1000>
339,MA,MACD Rule,macd_rule,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1060>
340,MB,MACDH Rule,macdh_rule,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab10c0>
341,MC,MACD and H Rule,macd_and_h_rule,NUMERIC,arithmetic,,2,=INT((MA2+MB2)/2)
342,MD,MACD_BRR Puts,macd_brr_puts,NUMERIC,array_formula,,-3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab11e0>
343,ME,MACDH_BRR Puts,macdh_brr_puts,NUMERIC,array_formula,,-2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1240>
344,MF,MACD and H Rule Puts,macd_and_h_rule_puts,NUMERIC,arithmetic,,-3,=INT((MD2+ME2)/2)
345,MG,MACDH Days,macdh_days,NUMERIC,array_formula,,1,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1360>
346,MH,MACDH Days2,macdh_days2,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab13c0>
347,MI,Overbought,overbought,NUMERIC,array_formula,,0,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1420>
348,MJ,!Overbought,overbought,NUMERIC,arithmetic,,0,=(-1)*MI2
349,MK,3mn Outlook,c_3mn_outlook,NUMERIC,array_formula,,2,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1540>
350,ML,3mn Outlook Days,c_3mn_outlook_days,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab15a0>
351,MM,3wk Outlook,c_3wk_outlook,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1600>
352,MN,3wk Outlook Days,c_3wk_outlook_days,NUMERIC,array_formula,,3,<openpyxl.worksheet.formula.ArrayFormula object at 0x73cc0dab1660>
353,MO,!3wk ol,c_3wk_ol,NUMERIC,arithmetic,,-3,=(-1)*MM2
