Date,Time,Symbol,Last,%Change,Sector,Beta,StandardDeviation,Free Cash Flow Per Share - Current (LTM),52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays,Market Cap
05/22/2026,1630,AFRM,65.22,-2.92%,Financials,3.498,1.24,$2.37,100.0,42.095,65.62,57.01,67.44,-1.0,-0.77,-0.28,"5,543,902",-100679.47,5231304.37,5505654.35,36.29,45.61,1.89,-0.12,71.1,42.39,71.1,-60.07,65.0,"21,842 M"
05/22/2026,1630,AGCO,112.84,+0.67%,Industrials,1.11,2.65,$7.39,143.78,95.96,116.28,116.58,113.7,1.0,-0.23,0.43,"528,719",-100144.14,721945.84,707009.09,-69.86,-3.03,-3.84,1.18,137.62,108.44,-108.44,123.14,46.0,"8,171 M"
05/22/2026,1630,AHR,50.19,+0.12%,Real Estate,.5659,0.8,$1.81,54.67,33.84,50.49,49.68,47.14,-2.0,-0.52,-0.5,"3,748,129",-100128.02,2508824.82,2567667.46,62.47,4.02,-2.94,-1.22,55.59,47.38,-47.38,52.09,51.0,"9,673 M"
05/22/2026,1630,AIQUY,41.8800,-0.17%,Materials,.7765,0.65,$5.45,44.415,36.169,41.67,41.67,39.98,5.0,0.17,0.46,"98,072",0.0,191038.56,194905.09,-48.23,7.08,1.65,4.21,44.28,38.53,44.28,-40.05,44.0,"120,842 M"
05/22/2026,1630,AKAM,147.23,+0.68%,Information Technology,.5476,13.55,$5.29,165.45,69.78,130.38,115.82,93.07,-7.0,-0.88,-0.4,"3,735,857",100355.03,6039807.18,5612349.19,19.32,28.59,-0.32,4.17,165.07,89.28,165.07,165.07,51.0,"21,405 M"
05/22/2026,1630,ALB,171.58,+0.99%,Materials,1.345,14.31,$3.47,221.0,53.7,189.61,183.43,138.5,1.0,0.0,0.05,"1,675,717",-100466.12,2051090.8,2131937.71,20.37,-3.09,-15.69,1.53,221.11,155.44,221.11,-166.03,45.0,"20,235 M"
05/22/2026,1630,ALCO,41.31,+1.13%,Consumer Staples,.9926,0.39,$1.66,45.01,30.89,40.99,41.22,37.4,4.0,0.21,0.44,"18,813",300200.45,27270.54,28111.6,-14.53,4.95,1.55,2.33,45.31,37.51,45.31,-40.05,54.0,306 M
05/22/2026,1630,ALGN,163.61,+0.35%,Health Care,1.779,4.9,$8.11,208.305,122.0,168.05,174.22,157.49,5.0,0.08,0.42,"844,543",-100247.46,1096976.41,1149184.91,20.04,-8.77,-3.06,5.45,200.23,154.03,200.23,-152.02,45.0,"11,717 M"
05/22/2026,1630,ALLY,42.35,-0.94%,Financials,1.104,0.92,($0.36),47.27,32.5018,43.07,41.66,41.4,3.0,-0.46,0.33,"2,566,046",-100133.23,3405829.74,3550888.13,-6.41,7.16,-4.27,3.67,47.23,36.5,47.23,-41.02,36.0,"12,981 M"
05/22/2026,1630,ALNY,297.45,-1.02%,Health Care,.329,5.43,$4.88,495.55,284.19,296.81,310.32,388.35,5.0,0.69,0.8,"681,270",100140.17,1099169.29,1086581.45,-57.17,-3.44,0.81,1.07,343.28,284.09,-284.09,-284.09,46.0,"39,713 M"
