Date,Time,Symbol,Beta,Market Cap,Long-term Debt to Capital - Current (LTM),Price / Earnings Ratio - Current,Price / Book Value Ratio - Current,Return on Equity (ROE) - Current (LTM),EPS,Div. Yield - Current,Sector,Free Cash Flow Per Share - Current (LTM)
05/15/2026,1630,CHRD,.4537,"8,354 M",15.606,-119.21,.99455,<empty>,-1.03,3.6573,Energy,<empty>
05/15/2026,1630,CHTR,.7689,"17,258 M",81.439,5.8334,1.6204,27.505,36.96,<empty>,Communication Services,$30.73
05/15/2026,1630,CHWY,1.49,"8,867 M",49.18,55.981,24.271,58.678,.52,<empty>,Consumer Discretionary,$1.36
05/15/2026,1630,CI,.2766,"75,463 M",40.047,11.302,1.6722,16.269,23.59,2.283,Health Care,$28.94
05/15/2026,1630,CLOX,.1085,284 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CLOZ,.1305,658 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CLX,.5697,"10,937 M",61.381,16.795,-187.03,<empty>,6.15,4.7863,Consumer Staples,$3.11
05/15/2026,1630,CMCSA,.7251,"88,448 M",48.713,5.6022,1.1633,20.918,5.1,4.5977,Communication Services,$4.84
05/15/2026,1630,CMG,1.004,"41,881 M",64.49,29.335,17.112,49.232,1.09,<empty>,Consumer Discretionary,$1.14
05/15/2026,1630,CMI,1.227,"96,114 M",33.07,27.944,6.0109,21.994,19.25,1.4535,Industrials,$19.34
05/15/2026,1630,CNA,.3405,"11,830 M",21.491,10.272,1.1442,<empty>,4.47,4.0505,Financials,<empty>
05/15/2026,1630,CNC,.9491,"28,774 M",43.031,-2.5001,.75447,-26.044,-13.05,<empty>,Health Care,$14.45
05/15/2026,1630,CNH,1.59,"12,933 M",77.514,7.5026,2.065,<empty>,.32,3.6265,,<empty>
05/15/2026,1630,CNX,.6424,"5,106 M",31.768,5.3135,1.1827,<empty>,7.5,<empty>,Energy,<empty>
05/15/2026,1630,COAL,.8534,67 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,COCO,.726,"4,480 M",3.5226,34.685,7.7688,26.32,1.38,<empty>,Consumer Staples,<empty>
05/15/2026,1630,COF,1.046,"116,475 M",<empty>,42.481,1.0514,3.2593,3.91,1.5348,Financials,$45.02
05/15/2026,1630,COIN,3.213,"51,488 M",28.579,60.984,3.4119,6.6859,2.72,<empty>,Financials,$6.68
05/15/2026,1630,COM,.0007,275 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,COP,.186,"149,131 M",25.336,22.449,2.4917,11.284,5.9,2.4545,Energy,$4.72
05/15/2026,1630,COPJ,1.23,166 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,COPX,1.074,"7,549 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CORN,-.0862,276 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,COST,.9103,"465,369 M",20.199,52.961,14.083,29.651,19.23,.51056,Consumer Staples,$20.49
05/15/2026,1630,CP,1.091,"75,520 M",30.505,24.398,2.1035,<empty>,3.216,.8331,Industrials,$1.62
05/15/2026,1630,CPAY,.8414,"21,454 M",46.5,17.454,5.4825,<empty>,16.7,<empty>,Financials,$18.87
05/15/2026,1630,CPER,.4829,738 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CPNG,1.185,"28,936 M",33.959,-191.08,8.6896,-3.9865,-.1,<empty>,Consumer Discretionary,$0.16
05/15/2026,1630,CPRI,1.475,"2,057 M",<empty>,-2.579,28.357,<empty>,-4.28,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,CPT,.8262,"10,166 M",40.137,27.15,2.5204,<empty>,3.58,4.3109,Real Estate,<empty>
05/15/2026,1630,CRCL,2.883,"28,338 M",.3431,-1373.5,6.8942,-2.9755,-.23,<empty>,Information Technology,$2.10
05/15/2026,1630,CRI,.864,"1,233 M",50.026,14.437,1.4252,10.204,2.49,2.7847,Consumer Discretionary,$3.58
05/15/2026,1630,CRM,1.123,"141,941 M",16.77,27.217,3.3346,12.396,7.8,.78383,Information Technology,$15.16
05/15/2026,1630,CRSP,1.504,"4,669 M",29.553,-7.7297,2.5268,-31.206,-6.17,<empty>,Health Care,($4.61)
05/15/2026,1630,CRWD,1.05,"151,215 M",15.15,-679.08,25.254,-4.1369,-.65,<empty>,Information Technology,$4.95
05/15/2026,1630,CSCO,.9453,"466,917 M",24.164,29.668,7.1994,25.229,3,1.8537,Information Technology,$2.98
05/15/2026,1630,CSX,1.23,"84,843 M",56.707,25.175,5.618,23.684,1.63,1.2911,Industrials,$1.02
05/15/2026,1630,CTA,-.2498,"1,704 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,CUBE,1.12,"8,685 M",50.96,25.63,3.1329,<empty>,1.43,5.7299,Real Estate,$2.67
05/15/2026,1630,CURB,.5583,"2,913 M",23.903,86.088,1.437,<empty>,.3,2.5204,Real Estate,<empty>
05/15/2026,1630,CVNA,1.96,"48,113 M",51.087,36.757,12.085,60.172,1.726,<empty>,Consumer Discretionary,$1.06
05/15/2026,1630,CVS,.6157,"122,349 M",47.352,31.288,1.1804,3.7519,2.28,3.7037,Health Care,$5.82
05/15/2026,1630,CVX,.5021,"380,594 M",16.865,35.99,2.227,6.6377,5.74,3.3398,Energy,$7.22
05/15/2026,1630,CWH,2.136,421 M,<empty>,-4.5786,2.0183,<empty>,-1.49,5.4905,Consumer Discretionary,($1.68)
05/15/2026,1630,CZR,1.836,"5,662 M",87.459,-11.184,1.5784,-10.716,-2.36,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,D,.6312,"54,289 M",53.021,18.262,1.93,9.7873,3.37,4.319,Utilities,($8.61)
05/15/2026,1630,DAL,1.28,"46,141 M",39.196,9.7016,2.132,24.99,6.85,1.1282,Industrials,$6.03
05/15/2026,1630,DAPP,3.385,522 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,DAR,1.117,"9,912 M",45.302,46.916,2.107,4.8787,1.38,<empty>,Consumer Staples,<empty>
05/15/2026,1630,DASH,1.903,"69,366 M",23.576,71.569,6.4188,9.922,2.11,<empty>,Consumer Discretionary,$4.07
05/15/2026,1630,DDOG,1.333,"74,033 M",23.584,309.47,10.533,3.9297,.39,<empty>,Information Technology,$2.74
05/15/2026,1630,DDS,1.184,"8,413 M",<empty>,13.433,4.3553,<empty>,42.07,.1503,Consumer Discretionary,$48.36
05/15/2026,1630,DE,.9573,"151,754 M",47.057,29.765,5.4227,19.566,17.73,1.2273,Industrials,$13.22
05/15/2026,1630,DECK,1.094,"13,281 M",9.0135,14.785,5.6546,39.688,7.04,<empty>,Consumer Discretionary,$6.28
05/15/2026,1630,DELL,1,"157,339 M",80.645,13.184,-30.208,-307.8,8.68,1.835,Information Technology,$12.67
05/15/2026,1630,DEO,.542,"45,411 M",55.252,19.969,4.142,<empty>,4.328,3.8389,Consumer Staples,<empty>
05/15/2026,1630,DG,.2996,"22,547 M",58.487,20.939,3.7108,18.992,6.85,1.6454,Consumer Staples,$10.87
05/15/2026,1630,DGX,.6072,"20,657 M",40.493,21.655,2.9533,<empty>,9.05,1.6634,Health Care,$11.97
05/15/2026,1630,DIN,.9671,378 M,<empty>,22.8,-1.1264,-6.4459,1.15,5.56,Consumer Discretionary,$2.62
05/15/2026,1630,DIS,1.415,"178,374 M",23.65,14.768,1.4835,11.01,6.25,1.623,Communication Services,$3.98
05/15/2026,1630,DK,.5574,"2,746 M",86.979,-55.17,52.555,<empty>,-.94,2.2632,Energy,<empty>
05/15/2026,1630,DKL,.4681,"2,749 M",100.37,15.698,-132.15,439.37,3.17,9.0233,Energy,$1.89
05/15/2026,1630,DKNG,1.5,"12,403 M",75.584,236.04,17.715,7.9357,.09,<empty>,Consumer Discretionary,$1.15
05/15/2026,1630,DLTR,.5783,"17,444 M",56.014,19.796,6.2165,31.693,6.22,<empty>,Consumer Staples,$6.41
05/15/2026,1630,DOC,1.019,"13,347 M",49.664,51.525,1.4596,2.7996,.32,7.4257,Real Estate,$1.77
05/15/2026,1630,DOCU,1,"9,270 M",8.0124,35.5,5.4179,15.768,1.48,<empty>,Information Technology,$5.24
05/15/2026,1630,DOV,1.203,"28,383 M",24.093,26.042,3.7477,14.998,8.02,.99544,Industrials,$8.33
05/15/2026,1630,DOW,1,"27,929 M",50.552,-10.419,1.9686,-15.262,-4,4.2017,Materials,($0.53)
05/15/2026,1630,DPZ,1.038,"10,055 M",413.25,21.491,-3.2017,-15.138,17.37,1.9312,Consumer Discretionary,$19.33
05/15/2026,1630,DRI,.5781,"22,436 M",74.084,22.886,11.845,51.539,9.44,2.7155,Consumer Discretionary,$8.56
05/15/2026,1630,DRLL,.4788,298 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,DRVN,.9799,"2,138 M",<empty>,-10.942,3.3368,<empty>,-1.25,<empty>,Consumer Discretionary,$0.19
05/15/2026,1630,DT,.7353,"11,303 M",5.1062,68.481,4.1726,6.2175,.54,<empty>,Information Technology,$1.76
05/15/2026,1630,DVN,.5287,"57,061 M",31.467,13.941,2.0255,15.178,3.59,1.9078,Energy,$3.88
05/15/2026,1630,DXCM,1.34,"23,781 M",31.423,26.856,8.1959,35.624,2.33,<empty>,Health Care,$3.68
05/15/2026,1630,EA,.6627,"50,311 M",20.782,58.083,7.5565,<empty>,3.51,.37279,Communication Services,$9.29
05/15/2026,1630,EAT,1.254,"5,885 M",74.615,14.328,15.544,139.22,10.26,<empty>,Consumer Discretionary,<empty>
05/15/2026,1630,EBAY,1.399,"51,562 M",54.484,21.023,9.201,42.875,4.41,1.2964,Consumer Discretionary,$3.71
05/15/2026,1630,ECH,.7607,981 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,ECPG,1.324,"1,750 M",79.461,5.4583,1.4568,<empty>,12.84,<empty>,Financials,<empty>
05/15/2026,1630,EDEN,.8775,198 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EDU,.1751,"8,101 M",10.215,20.624,2.1086,10.842,2.7,2.1958,Consumer Discretionary,<empty>
05/15/2026,1630,EDV,.7292,"3,740 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EEM,.7184,"28,813 M",<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EFNL,.7756,54 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EFX,1.331,"18,857 M",40.593,31.686,4.7311,<empty>,5.68,1.144,Industrials,$9.32
05/15/2026,1630,EGP,1.069,"10,792 M",26.926,33.641,2.7775,<empty>,5.5,3.2687,Real Estate,<empty>
05/15/2026,1630,EIS,1.023,975 M,<empty>,<empty>,<empty>,<empty>,<empty>,<empty>,,<empty>
05/15/2026,1630,EL,1.262,"29,045 M",63.169,-104.34,6.5029,-5.9486,-.7,1.9507,Consumer Staples,$3.55
05/15/2026,1630,ELS,2.105,"11,852 M",64.38,31.299,6.8717,<empty>,2,3.3443,Real Estate,<empty>
