Date,Time,Symbol,Last,%Change,StandardDeviation,52High,52Low,SimpleMovingAvg,SimpleMovingAvg,SimpleMovingAvg,A_MCADays_Streak,A_MACD_BRR,A_MACDH_D_BRR,Volume,A_VolumeSpike,VolumeAvg,VolumeAvg,VolumeRateOfChange,A_Perf2M,A_Perf2Wk,A_Perf3D,A_3mnHigh,A_3mnLow,A_3mnHighLow,A_3wkHighLow,A_EarningsDays
06/02/2026,1630,ALB,171.77,+0.37%,8.63,221.0,53.7,184.07,184.93,141.4,7.0,0.0,0.4,"2,621,706",-100466.18,2092214.94,2088164.81,45.23,-3.75,-2.26,-2.58,221.17,155.5,221.17,221.17,40.0
06/02/2026,1630,ALCO,40.53,+0.30%,0.52,45.01,30.89,40.93,41.55,37.65,-3.0,-0.24,-0.44,"18,230",200200.51,23926.51,27107.68,-44.55,-1.65,0.72,-2.83,45.37,37.57,45.37,-40.11,48.0
06/02/2026,1630,ALGN,166.69,-1.81%,5.46,208.305,122.0,165.24,173.81,158.33,-1.0,0.32,-0.7,"901,908",-100247.52,1017598.0,1145346.02,43.01,-3.5,4.98,-3.79,200.29,152.08,-152.08,178.02,40.0
06/02/2026,1630,ALLY,42.17,+0.29%,0.54,47.27,34.71,42.67,42.3,41.54,-2.0,-0.46,-0.43,"2,925,181",-100133.29,3290674.25,3518132.55,4.63,6.03,0.14,-1.47,47.29,36.56,47.29,-41.08,30.0
06/02/2026,1630,ALNY,286.12,-3.22%,5.57,495.55,284.28,295.04,308.1,384.17,-2.0,-0.76,-0.73,"1,042,350",-100042.03,1081988.3,1097813.37,26.17,-12.96,-0.05,-6.21,343.34,284.15,-284.15,306.03,40.0
06/02/2026,1630,AMAT,490.05,+6.96%,19.86,491.51,154.465,436.6,401.93,295.4,2.0,0.86,0.83,"9,274,223",100261.12,6696798.14,6770235.28,-0.48,38.51,18.49,8.98,448.15,317.59,-317.59,-397.09,50.0
06/02/2026,1630,AMBA,78.38,+3.58%,6.11,96.69,48.3,80.73,66.83,72.3,-5.0,-0.72,0.0,"1,854,715",-101376.03,1066603.34,1041422.42,102.98,53.45,-0.63,-14.66,89.06,48.44,96.05,-71.02,60.0
06/02/2026,1630,AMD,521.54,+2.24%,37.87,527.1999,113.28,456.58,340.65,240.91,-2.0,0.95,-0.44,"24,133,083",300369.19,3.924807997E7,3.765160414E7,-38.34,148.1,23.88,0.67,481.06,189.59,-189.59,527.03,43.0
06/02/2026,1630,AMG,310.52,+2.67%,4.6,334.78,178.17,302.29,292.5,275.17,1.0,0.57,0.52,"307,755",0.0,332440.25,346349.73,7.7,13.54,4.54,2.5,318.21,254.41,318.21,313.04,40.0
06/02/2026,1630,AMH,32.08,-0.62%,0.44,37.78,27.215,31.95,30.59,31.64,-1.0,-0.73,-0.27,"2,329,989",100128.03,3109461.42,3234423.12,-62.63,13.88,0.6,0.28,33.17,27.5,-27.5,-30.11,41.0
06/02/2026,1630,AMLP,52.73,+1.03%,0.97,55.22,44.64,53.46,52.9,49.51,1.0,-0.15,0.08,"1,822,711",-100016.43,1588188.47,1586483.28,40.37,1.23,-3.18,0.55,55.08,51.31,55.08,-52.02,NaN
06/02/2026,1630,AMN,30.25,+3.10%,1.47,31.65,14.865,27.5,22.73,19.66,4.0,0.74,0.36,"928,902",200472.16,1000505.15,1030451.12,-42.11,62.98,4.82,8.31,32.15,17.41,32.15,32.15,45.0
06/02/2026,1630,AMPH,18.45,+0.16%,0.69,31.2641,16.645,19.07,20.17,24.67,-2.0,0.61,-0.76,"810,460",100060.08,588457.64,613262.03,-33.55,-8.84,7.27,-4.4,24.17,17.1,-17.1,-17.1,45.0
06/02/2026,1630,AMZN,256.52,-1.81%,4.69,278.56,196.0,267.61,248.74,231.83,-2.0,-0.56,-0.25,"41,377,122",-100334.23,4.474802176E7,4.49547985E7,12.51,21.82,-3.15,-6.38,279.19,199.45,279.19,277.17,41.0
06/02/2026,1630,AN,191.09,+1.10%,4.57,228.9166,176.62,192.6,196.96,205.74,2.0,0.32,0.68,"369,405",-100334.22,390340.07,409863.24,11.84,-3.48,5.03,-1.37,218.21,177.08,-177.08,-177.08,41.0
06/02/2026,1630,AQWA,18.63,+0.93%,0.18,20.92,18.25,18.79,19.13,19.46,1.0,0.3,0.56,"4,361",0.0,10027.78,28516.79,-30.24,-3.04,0.73,-0.29,20.62,18.08,-18.08,-18.08,NaN
06/02/2026,1630,AR,36.26,-1.36%,1.1,45.75,29.1,36.89,38.56,35.22,3.0,0.1,0.64,"4,658,230",0.0,5108851.77,5495521.06,3.35,-11.26,-5.47,1.26,46.44,35.03,46.44,-35.03,40.0
06/02/2026,1630,ARE,52.74,+8.45%,1.95,88.236,39.41,47.42,46.08,58.06,1.0,0.87,0.69,"4,245,595",100851.01,2312490.92,2270935.18,155.41,21.83,12.98,5.35,54.62,39.24,-39.24,-45.11,42.0
06/02/2026,1630,ARGT,97.80,-1.20%,3.91,103.9699,66.49,92.01,91.95,87.48,-1.0,0.79,-0.98,"375,315",100032.23,293687.2,271705.61,284.74,4.92,8.73,1.82,97.38,85.6,-85.6,-86.11,NaN
06/02/2026,1630,ARHS,6.53,-1.21%,0.38,12.63,5.57,6.41,6.8,9.13,-2.0,0.53,-0.66,"648,388",-100165.12,1368647.79,1390017.54,-66.97,-0.15,11.24,-4.81,8.29,6.08,-6.08,-6.08,45.0
06/02/2026,1630,ARKK,79.91,-1.66%,2.48,92.65,55.64,77.95,74.83,78.04,-1.0,0.83,-0.63,"5,793,752",100150.5,8952108.5,9564026.49,-41.71,16.83,7.25,-1.36,81.15,63.44,-63.44,82.02,NaN
06/02/2026,1630,ARQQ,16.27,-4.07%,1.8,62.0,11.52,15.12,14.42,25.21,-3.0,-1.0,-0.6,"628,476",200526.07,472606.58,410067.43,24.28,19.72,27.71,-3.78,19.06,12.44,19.06,19.06,131.0
06/02/2026,1630,AS,35.41,-1.14%,1.35,42.76,28.92,35.01,34.75,35.64,-4.0,-0.58,-0.66,"3,212,074",-200151.1,4382351.06,4750783.09,-21.22,4.58,6.82,-1.75,38.31,31.5,38.31,38.04,53.0
06/02/2026,1630,ASBFF,25.76,0.00%,2.36,31.08,23.18,27.04,28.05,25.16,1.0,0.29,0.37,<empty>,NaN,2186.16,2774.45,-72.45,-11.17,-3.38,6.01,31.09,23.04,-23.04,-23.04,NaN
06/02/2026,1630,ASO,51.38,-2.30%,1.67,62.445,40.37,52.05,54.44,52.99,-3.0,-0.31,-0.63,"1,048,022",-200851.54,1301116.45,1447724.66,-26.09,-10.94,2.8,-6.79,62.58,48.09,-48.09,56.03,5.0
06/02/2026,1630,ATRO,85.61,+0.60%,3.0,90.65,27.2701,81.06,75.26,60.98,-3.0,-0.67,-0.66,"316,812",101060.14,514302.88,562753.67,-65.63,21.05,6.55,-2.9,86.08,61.44,-61.44,91.03,41.0
06/02/2026,1630,AVB,183.38,+0.28%,1.62,209.86,160.095,184.92,176.44,180.64,-4.0,-0.67,-0.21,"768,937",-200121.08,1030155.72,1029676.02,-9.02,11.21,-1.01,-0.78,188.14,160.43,188.04,188.04,40.0
06/02/2026,1630,AVGO,481.57,+4.70%,19.56,488.82,241.11,428.09,391.92,353.91,6.0,0.71,0.67,"37,297,338",100363.03,2.170903296E7,2.415707308E7,96.26,53.62,14.47,12.89,442.12,290.44,-290.44,-405.13,1.0
06/02/2026,1630,AVO,10.78,-1.01%,0.55,15.53,10.08,12.18,13.24,12.74,1.0,0.0,0.31,"1,703,297",-400260.03,1041708.69,1019841.21,99.47,-22.28,-12.29,-4.18,16.38,11.03,16.38,14.15,4.0
06/02/2026,1630,AVTR,8.99,-2.18%,0.58,15.93,7.265,8.24,8.08,10.73,-1.0,0.99,-0.98,"10,129,964",100357.09,9471112.69,9776678.24,3.83,15.7,18.29,-1.75,9.62,7.45,-7.45,9.02,41.0
06/02/2026,1630,AWI,152.84,-1.50%,2.4,206.0799,149.06,158.89,166.25,183.94,-3.0,-0.37,-0.57,"698,647",100132.25,425348.96,493244.78,59.12,-7.78,-3.2,-4.68,183.29,152.09,-152.09,-152.09,38.0
06/02/2026,1630,AXP,310.97,-0.82%,2.09,387.49,286.15,313.36,314.0,337.11,-1.0,-0.62,-0.45,"2,111,885",100039.51,3127345.02,3356498.19,-7.19,3.16,-0.41,-1.32,340.31,291.5,340.31,-303.08,36.0
06/02/2026,1630,AZO,3029.36,+0.28%,183.25,4388.11,2928.11,3306.8,3415.09,3709.84,2.0,0.0,0.11,"197,801",-100237.03,245412.9,225704.59,-45.05,-11.59,-9.99,0.74,3785.61,2945.03,3785.61,3561.16,77.0
06/02/2026,1630,B,43.20,+2.08%,1.33,54.69,19.57,42.14,41.27,39.69,6.0,0.58,0.63,"13,773,114",100647.16,1.26606039E7,1.318837563E7,1.45,2.37,6.4,3.62,48.15,36.5,48.15,-39.09,48.0
06/02/2026,1630,BA,217.70,-2.94%,6.51,254.3499,176.77,226.48,220.17,219.39,-2.0,-0.46,-0.36,"7,560,753",-100639.13,6698535.41,7075455.83,7.38,5.01,-1.32,-4.84,244.12,188.44,244.12,-214.09,38.0
06/02/2026,1630,BABA,130.82,+4.32%,5.75,192.67,103.71,133.75,131.25,149.66,2.0,0.46,0.32,"15,203,226",201052.14,1.101646666E7,1.164487956E7,-5.74,5.73,-1.83,3.69,147.13,118.39,147.13,-123.02,60.0
06/02/2026,1630,BAC,52.48,+1.88%,0.83,57.55,43.6649,51.36,51.39,51.89,3.0,0.57,0.51,"41,977,801",100043.51,3.539760148E7,3.795087963E7,25.24,6.52,3.53,3.37,55.33,46.51,55.33,-49.11,28.0
06/02/2026,1630,BALL,53.75,+0.09%,1.03,68.29,44.83,56.43,59.35,55.21,-3.0,-0.02,-0.43,"2,592,293",-100230.03,2674638.34,2529408.86,19.04,-10.97,-3.67,-4.43,66.62,55.09,66.62,60.16,43.0
06/02/2026,1630,BBN,16.03,+0.38%,0.18,17.45,15.47,15.9,16.02,16.45,9.0,0.55,0.84,"124,076",-100100.19,188302.44,193886.46,-30.35,-0.74,2.69,0.31,17.62,15.09,-15.09,-15.09,NaN
06/02/2026,1630,BBWI,18.72,+0.48%,1.27,33.96,14.275,18.39,18.63,22.21,-2.0,0.59,-0.72,"5,401,347",-200063.05,6374011.59,6294525.68,-10.84,-3.16,15.48,-8.06,24.62,16.08,-16.08,21.04,59.0
06/02/2026,1630,BBY,72.78,-2.93%,7.44,84.99,55.1,62.32,62.52,69.79,-1.0,1.0,-0.92,"4,533,356",300542.03,4222493.5,4558918.79,61.86,13.17,25.74,-2.62,68.62,55.13,-55.13,78.02,59.0
06/02/2026,1630,BCO,102.97,-0.05%,1.56,136.37,81.97,105.41,105.94,114.34,-3.0,-0.64,-0.53,"413,805",0.0,460369.89,496821.98,-47.89,-0.4,-1.91,-3.84,128.62,96.5,-96.5,-99.13,44.0
06/02/2026,1630,BDRY,12.94,-0.73%,0.3,13.34,5.16,12.73,11.59,9.8,-1.0,-0.7,-0.48,"194,809",0.0,96131.4,165573.72,57.49,25.33,0.7,-1.6,13.14,10.44,13.14,13.14,NaN
06/02/2026,1630,BEAM,28.96,-7.00%,2.18,36.44,15.6,30.09,28.53,26.15,-2.0,-0.56,-0.53,"1,748,344",-201095.27,2128188.75,2071306.03,21.53,19.57,8.02,-11.71,34.15,22.44,34.15,-26.09,43.0
